DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Cambodia,KHM,Asia,South-eastern Asia,2022,,,,,,,,,,,1.47606003284,69.0,,23.696559906,320.0,98.6999969482,,17.2000007629,,4.36388015747,5.98332023621,,3.79999995232,,,22.2999992371,84.0,53.5,,,,,,,0.079999998212,,,,,4830549.0,4.71000003815,172.5131073,,,,,,,,,12.1769504547,85.0,46.791431427,83.3505325317,36.7328910828,29.131280899,62.099998474121094
Cambodia,KHM,Asia,South-eastern Asia,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5333023071,,,,,,,,,,,,0.0,,,,,,,,62.29999923706055
Cameroon,CMR,Africa,Sub-Saharan Africa,2014,,,10.7100000381,1.77999997139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36000061035156
Cameroon,CMR,Africa,Sub-Saharan Africa,2018,,,,,,,,,,,,,,,,69.0,,,,,,,,,4.30000019073,,,,,,,44.9000015259,,,,,,22.0,39.0,,,,,,,,,,,,,,,,,,53.82500076293945
Cameroon,CMR,Africa,Sub-Saharan Africa,2019,,,,,,,,,,,,,,,,,,,24.9390335083,,,36.7999992371,,40.5999984741,,,,,,10.1012001038,206.687393188,,,,,,,,,,,,61.6314086914,,,47.2999992371,,,,,,,,,,,54.5
Cameroon,CMR,Africa,Sub-Saharan Africa,2020,,,,,,,,,,,,,105.279998779,,,,437.752838135,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,55.17499923706055
Cameroon,CMR,Africa,Sub-Saharan Africa,2021,70.0,45.4500007629,,,2.8599998951,,,,,,,,2.3599998951,,,,,,,,,,,,,,,,10.6000003815,,,,,,,,,,,,,,,1.06792068481,8.4620218277,,,43.8763504028,,6.02811479568,,,,,,,55.849998474121094
Cameroon,CMR,Africa,Sub-Saharan Africa,2022,,,,,,,1.34700000286,6.50099992752,0.11400000006,0.216000005603,231.385284424,44.0,,69.8341522217,157.0,,,6.5,,14.8824996948,4.23687982559,,10.5,,,26.8999996185,67.0,29.3999996185,,,,,,,0.360000014305,7.0,,,,11290383.0,4.19999980927,108.736198425,,,,,,,,,26.2498893738,68.0,,36.7118301392,,,56.525001525878906
Cameroon,CMR,Africa,Sub-Saharan Africa,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6666984558,,,,,,,,,,,,0.0,,,,,,,,57.20000076293945
Canada,CAN,Americas,Northern America,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,71.25
